snd_c,grad_c,conf_f,min_dur,score,pct_very_long,adj_score,n_eps,time_s
2.5,1.2,0.7,20,45.02,4.5,44.93,19389,27.7
2.0,1.2,0.7,20,46.36,4.4,46.27,21009,27.1
3.0,1.2,0.7,20,43.95,4.7,43.86,18247,26.8
2.5,1.0,0.7,20,47.45,4.4,47.36,21912,28.4
2.5,1.4,0.7,20,43.18,4.7,43.09,17438,26.4
2.5,1.2,0.65,20,43.59,4.5,43.5,17417,26.6
2.5,1.2,0.75,20,46.38,4.5,46.29,21632,26.8
2.5,1.2,0.7,15,49.16,4.1,49.08,24194,27.1
2.5,1.2,0.7,25,41.48,4.8,41.38,16067,26.3
2.0,1.0,0.75,15,55.56,3.8,55.48,35353,28.7
3.0,1.4,0.65,25,37.87,4.9,37.77,12872,25.3
