method,total_excess_lh,total_abnormal_lh,method_excess_lh,method_abnormal_lh,method_pct_total_excess,method_pct_total_abnormal,incident_reports_pct_excess,incident_reports_pct_abnormal,incident_excluded_excess_lh,incident_excluded_abnormal_lh,incident_excluded_pct_excess,incident_excluded_pct_abnormal,incident_excluded_near_zero_exc,incident_excluded_near_zero_abn,detector_only_excess_lh,detector_only_abnormal_lh,detector_only_pct_excess,detector_only_pct_abnormal,overlap_excess_lh,overlap_abnormal_lh,labeled_steps,anomaly_rate_pct,network,variant
Baseline,7874.8789,6751.2139,4046.1094,3751.033,51.38,55.56,5.75,6.5,14.7299,12.3155,0.19,0.18,82.8,86.1,3607.7119,3324.6162,45.81,49.24,438.397,426.4167,591106,7.148,tsmo,Baseline
Baseline,6324.5093,5858.377,2270.1177,2259.7393,35.89,38.57,14.0,14.87,176.8999,163.2297,2.8,2.79,57.6,63.2,1561.2924,1552.0107,24.69,26.49,708.8252,707.7283,236691,4.162,cranberry,Baseline
snd_c −20%,7874.8789,6751.2139,4162.9561,3857.6731,52.86,57.14,5.75,6.5,14.4033,11.9877,0.18,0.18,83.0,86.4,3724.2329,3430.9285,47.29,50.82,438.7236,426.7445,638235,7.718,tsmo,snd_c −20%
snd_c −20%,6324.5093,5858.377,2274.6035,2262.8784,35.96,38.63,14.0,14.87,179.4731,165.8614,2.84,2.83,57.5,63.1,1568.3516,1557.7817,24.8,26.59,706.252,705.0966,252177,4.434,cranberry,snd_c −20%
snd_c +20%,7874.8789,6751.2139,3982.8701,3692.1096,50.58,54.69,5.75,6.5,17.1117,14.662,0.22,0.22,82.4,85.7,3546.8547,3268.0396,45.04,48.41,436.0153,424.0702,565887,6.843,tsmo,snd_c +20%
snd_c +20%,6324.5093,5858.377,2240.5625,2230.978,35.43,38.08,14.0,14.87,174.6044,160.8913,2.76,2.75,57.6,63.3,1529.4419,1520.9115,24.18,25.96,711.1206,710.0667,227767,4.005,cranberry,snd_c +20%
grad_c −20%,7874.8789,6751.2139,4358.6475,4006.9541,55.35,59.35,5.75,6.5,14.2525,11.9376,0.18,0.18,83.3,86.5,3919.7729,3580.1594,49.78,53.03,438.8745,426.7946,690010,8.344,tsmo,grad_c −20%
grad_c −20%,6324.5093,5858.377,2303.8835,2292.1279,36.43,39.13,14.0,14.87,172.9491,159.3272,2.73,2.72,57.7,63.3,1591.1077,1580.4971,25.16,26.98,712.7759,711.6309,254637,4.477,cranberry,grad_c −20%
grad_c +20%,7874.8789,6751.2139,3778.3811,3529.749,47.98,52.28,5.75,6.5,16.8228,14.2129,0.21,0.21,82.1,85.4,3342.0767,3105.2297,42.44,46.0,436.3041,424.5193,518139,6.266,tsmo,grad_c +20%
grad_c +20%,6324.5093,5858.377,2227.4917,2218.1213,35.22,37.86,14.0,14.87,179.2317,165.5443,2.83,2.83,57.5,63.1,1520.9985,1512.7078,24.05,25.82,706.4933,705.4136,221970,3.903,cranberry,grad_c +20%
conf_f −20%,7874.8789,6751.2139,3488.4058,3278.062,44.3,48.56,5.75,6.5,19.1655,16.5253,0.24,0.24,80.5,83.9,3054.4443,2855.8552,38.79,42.3,433.9615,422.2069,391353,4.732,tsmo,conf_f −20%
conf_f −20%,6324.5093,5858.377,1835.321,1831.3867,29.02,31.26,14.0,14.87,229.392,215.3947,3.63,3.68,54.2,59.5,1178.988,1175.8235,18.64,20.07,656.333,655.5632,118866,2.09,cranberry,conf_f −20%
conf_f +20%,7874.8789,6751.2139,4380.4575,4029.6343,55.63,59.69,5.75,6.5,12.5444,10.4623,0.16,0.15,84.5,87.5,3939.875,3601.3643,50.03,53.34,440.5826,428.2699,783414,9.473,tsmo,conf_f +20%
conf_f +20%,6324.5093,5858.377,2913.1616,2884.3052,46.06,49.23,14.0,14.87,129.5576,116.6529,2.05,1.99,62.5,68.5,2156.9941,2130.0002,34.11,36.36,756.1674,754.3051,563212,9.903,cranberry,conf_f +20%
min_dur −20%,7874.8789,6751.2139,4046.1094,3751.033,51.38,55.56,5.75,6.5,14.7299,12.3155,0.19,0.18,82.8,86.1,3607.7119,3324.6162,45.81,49.24,438.397,426.4167,591106,7.148,tsmo,min_dur −20%
min_dur −20%,6324.5093,5858.377,2270.1177,2259.7393,35.89,38.57,14.0,14.87,176.8999,163.2297,2.8,2.79,57.6,63.2,1561.2924,1552.0107,24.69,26.49,708.8252,707.7283,236691,4.162,cranberry,min_dur −20%
min_dur +20%,7874.8789,6751.2139,4046.1094,3751.033,51.38,55.56,5.75,6.5,14.7299,12.3155,0.19,0.18,82.8,86.1,3607.7119,3324.6162,45.81,49.24,438.397,426.4167,591106,7.148,tsmo,min_dur +20%
min_dur +20%,6324.5093,5858.377,2270.1177,2259.7393,35.89,38.57,14.0,14.87,176.8999,163.2297,2.8,2.79,57.6,63.2,1561.2924,1552.0107,24.69,26.49,708.8252,707.7283,236691,4.162,cranberry,min_dur +20%
